S - Bramborářská - brambory (je-br-op-oz-br-jj),0.27
S - Bramborářská - chov skotu (je-op-ks-ks-ov),0.27
S - Bramborářská - tržní plodiny (br-op-or-oz-jj),0.32
S - Kukuřičná - bez ŽV (op-kz-jj-or-op),0.29
S - Kukuřičná - tržní plodiny (ks-ks-op-jj),0.32
S - Obilnářská - (je-op-jj-ks-op-br-jj),0.50
S - Obilnářská - obiloviny (hr-op-jj-or-op-jj),0.29
S - Obilnářská - tržní plodiny (je-oz-br-jj),0.23
S - Pícninářská - (jt-jt-br-jj-ov),0.17
S - Pícninářská - (jt-jt-jt-ov-br-jj),0.15
S - Řepařská - cukrovka (cu-jj-hr-op),0.11
S - Řepařská - tržní plodiny (op-hr-or-op),0.27
O - bez ŽV (los-br-op-jj-hr-op),0.20
O - bez ŽV (op-kz-jj-or-op),0.22
O - produkce mléka (jts-jts-op-ov-br-oz),0.33
O - chov prasat a skotu (jts-jts-op-br-los-oj),0.18
O - chov prasat - (jts-op-los-hr-oj),0.17
O - pásma ochrany vod a CHKO - (je-op-jj-or-op-jj),0.17
O - pásma ochrany vod a CHKO - (jts-jts-jts-op-oz-ov),0.17
O - pásma ochrany vod a CHKO - (jts-op-oz-gps-jj),0.11
O - pásma ochrany vod a CHKO - (jts-or-op-jj-ov),0.16
