HPJ,K
1,0.41
2,0.46
3,0.35
4,0.16
5,0.28
6,0.32
7,0.26
8,0.49
9,0.6
10,0.53
11,0.52
12,0.5
13,0.54
14,0.59
15,0.51
16,0.51
17,0.4
18,0.24
19,0.33
20,0.28
21,0.15
22,0.24
23,0.25
24,0.38
25,0.45
26,0.41
27,0.34
28,0.29
29,0.32
30,0.23
31,0.16
32,0.19
33,0.31
34,0.26
35,0.36
36,0.26
37,0.16
38,0.31
39,0.4
40,0.24
41,0.33
42,0.56
43,0.58
44,0.56
45,0.54
46,0.47
47,0.43
48,0.41
49,0.35
50,0.33
51,0.26
52,0.37
53,0.38
54,0.4
55,0.25
56,0.4
57,0.45
58,0.42
59,0,35
60,0,31
61,0.32
62,0.35
63,0.31
64,0.4
65,0.4
66,0.4
67,0.44
68,0.49
69,0.4
70,0.41
71,0.47
72,0.48
73,0.48
74,0.4
75,0.4
75,0.4
76,0.4
77,0.4
78,0.4
